%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100300.264,302.292,1.156,9.832,55.870,-0.448,1.299,25.122,2.355,-20.146,-25.476,-32.377,-32.887,-31.675,-25.788,-30.738,-30.366,-33.661,-29.686,-30.926,-30.576,-32.644,-11.000,60.609,29.944,-1.543,-188.574,210.281
100308.327,302.296,1.156,9.846,56.028,0.032,1.624,24.898,3.104,-20.042,-26.123,-32.065,-33.421,-32.210,-25.676,-31.050,-30.472,-34.085,-30.208,-31.135,-30.679,-31.743,-11.000,60.609,29.944,-1.543,-188.590,210.281
100292.202,302.300,1.156,9.860,56.186,-0.128,-0.000,24.228,2.355,-20.564,-25.691,-32.065,-33.101,-31.996,-25.676,-29.487,-30.788,-33.979,-30.626,-31.448,-31.612,-32.756,-11.000,60.609,29.944,-1.543,-188.607,210.281
100308.327,302.296,1.156,9.860,56.186,0.032,0.325,23.558,2.034,-20.355,-26.879,-32.065,-32.887,-32.638,-25.899,-29.175,-30.788,-35.360,-30.835,-31.866,-32.131,-33.882,-11.000,60.609,29.944,-1.543,-188.574,210.281
100300.264,302.296,1.156,9.860,56.186,-0.128,-0.108,24.563,2.141,-20.250,-26.123,-33.103,-32.994,-32.103,-25.676,-30.425,-30.472,-35.041,-31.776,-32.493,-32.234,-35.570,-11.000,60.609,29.944,-1.543,-188.607,210.281
100300.264,302.299,1.156,9.874,56.344,-0.128,-0.757,24.675,2.890,-20.877,-26.015,-32.278,-33.528,-31.996,-25.453,-30.321,-30.682,-34.085,-30.731,-33.433,-33.167,-35.683,-11.000,60.609,29.944,-1.543,-188.590,210.281
100312.359,302.297,1.156,9.866,56.265,-0.128,-1.945,24.005,2.248,-20.250,-25.907,-32.278,-32.674,-32.959,-25.788,-28.758,-29.944,-34.085,-31.044,-32.911,-33.271,-35.796,-11.000,60.609,29.944,-1.543,-188.574,210.281
100300.264,302.296,1.156,9.860,56.186,0.032,-1.189,23.893,2.783,-20.042,-25.476,-32.485,-32.887,-31.568,-25.341,-28.758,-28.785,-35.466,-31.881,-33.329,-33.789,-35.796,-11.000,60.609,29.944,-1.543,-188.590,210.271
100308.327,302.292,1.156,9.866,56.265,-0.288,-1.513,25.122,1.820,-19.729,-25.691,-32.070,-32.780,-31.568,-24.671,-28.445,-29.944,-35.678,-33.031,-33.433,-33.789,-35.008,-11.000,60.609,29.944,-1.543,-188.590,210.292
100300.264,302.294,1.156,9.860,56.186,-0.288,-1.729,25.457,3.318,-20.355,-25.368,-31.759,-32.567,-31.568,-24.225,-28.237,-31.526,-36.103,-32.299,-34.687,-33.063,-35.120,-11.000,60.609,29.944,-1.543,-188.590,210.281
100288.170,302.294,1.156,9.854,56.107,-0.128,-1.729,24.787,3.425,-19.729,-25.907,-31.966,-32.033,-32.424,-23.667,-28.654,-30.999,-36.421,-32.403,-33.747,-33.685,-34.220,-11.000,60.609,29.944,-1.543,-188.590,210.271
100292.202,302.294,1.156,9.846,56.028,0.032,-1.621,25.010,3.532,-19.311,-24.396,-31.966,-32.247,-31.033,-24.113,-28.966,-31.526,-36.528,-32.194,-33.642,-32.960,-35.120,-11.000,60.609,29.944,-1.543,-188.590,210.302
100288.170,302.296,1.156,9.861,56.186,-0.448,-1.621,26.461,3.318,-19.102,-25.044,-30.929,-31.819,-30.818,-22.439,-30.633,-32.369,-37.271,-32.403,-33.851,-33.063,-33.995,-11.000,60.609,29.944,-1.543,-188.574,210.292
100296.233,302.289,1.156,9.860,56.186,-0.128,-2.378,25.680,3.532,-19.311,-24.828,-30.929,-31.499,-31.033,-23.109,-29.904,-33.108,-38.014,-33.135,-34.165,-33.582,-34.557,-11.000,60.609,29.944,-1.543,-188.590,210.281
100284.139,302.292,1.156,9.868,56.265,0.032,-2.270,25.122,3.960,-18.372,-24.720,-30.825,-31.286,-30.283,-23.109,-30.633,-32.791,-39.501,-32.821,-33.851,-34.203,-35.233,-11.000,60.609,29.944,-1.543,-188.590,210.281
100296.233,302.296,1.156,9.867,56.265,0.032,-2.594,26.461,3.318,-19.207,-24.288,-31.240,-31.926,-30.711,-22.997,-31.050,-33.529,-37.908,-34.494,-34.060,-33.789,-35.796,-11.000,60.609,29.944,-1.543,-188.607,210.281
100296.233,302.296,1.156,9.874,56.344,0.352,-3.567,26.685,4.067,-19.520,-25.044,-30.410,-32.353,-30.711,-24.560,-33.030,-33.635,-38.758,-34.180,-35.314,-34.411,-35.570,-11.000,60.609,29.944,-1.543,-188.574,210.281
100300.264,302.296,1.156,9.874,56.344,0.192,-3.459,25.345,4.067,-18.893,-24.504,-30.617,-31.606,-32.210,-24.225,-33.551,-33.108,-39.076,-34.285,-34.269,-34.618,-36.021,-11.000,60.609,29.944,-1.543,-188.590,210.302
100280.107,302.296,1.156,9.896,56.581,0.352,-3.242,25.456,4.068,-18.580,-24.288,-31.655,-31.926,-30.711,-25.676,-33.863,-34.373,-39.288,-34.285,-35.001,-34.100,-36.358,-11.000,60.609,29.944,-1.543,-188.590,210.281
