% time  X      Y      X      Y  coordinates of the bar
%  sec     wall(m)      floor (m)
% source: Kristine Larson, ASEN 2003, February 26, 2016
 0.000 0.000  3.985  0.349 0.000 
 0.025 0.000  3.985  0.349 0.000 
 0.050 0.000  3.985  0.350 0.000 
 0.075 0.000  3.984  0.352 0.000 
 0.100 0.000  3.984  0.355 0.000 
 0.125 0.000  3.984  0.359 0.000 
 0.150 0.000  3.983  0.363 0.000 
 0.175 0.000  3.983  0.368 0.000 
 0.200 0.000  3.982  0.374 0.000 
 0.225 0.000  3.982  0.381 0.000 
 0.250 0.000  3.981  0.389 0.000 
 0.275 0.000  3.980  0.398 0.000 
 0.300 0.000  3.979  0.407 0.000 
 0.325 0.000  3.978  0.418 0.000 
 0.350 0.000  3.977  0.429 0.000 
 0.375 0.000  3.976  0.442 0.000 
 0.400 0.000  3.974  0.455 0.000 
 0.425 0.000  3.972  0.470 0.000 
 0.450 0.000  3.970  0.486 0.000 
 0.475 0.000  3.968  0.502 0.000 
 0.500 0.000  3.966  0.520 0.000 
 0.525 0.000  3.964  0.539 0.000 
 0.550 0.000  3.961  0.559 0.000 
 0.575 0.000  3.958  0.581 0.000 
 0.600 0.000  3.954  0.603 0.000 
 0.625 0.000  3.950  0.628 0.000 
 0.650 0.000  3.946  0.653 0.000 
 0.675 0.000  3.942  0.680 0.000 
 0.700 0.000  3.937  0.708 0.000 
 0.725 0.000  3.931  0.738 0.000 
 0.750 0.000  3.925  0.770 0.000 
 0.775 0.000  3.918  0.803 0.000 
 0.800 0.000  3.911  0.838 0.000 
 0.825 0.000  3.903  0.875 0.000 
 0.850 0.000  3.894  0.914 0.000 
 0.875 0.000  3.884  0.955 0.000 
 0.900 0.000  3.874  0.998 0.000 
 0.925 0.000  3.862  1.042 0.000 
 0.950 0.000  3.849  1.089 0.000 
 0.975 0.000  3.835  1.139 0.000 
 1.000 0.000  3.819  1.190 0.000 
 1.025 0.000  3.802  1.244 0.000 
 1.050 0.000  3.783  1.300 0.000 
 1.075 0.000  3.762  1.359 0.000 
 1.100 0.000  3.739  1.421 0.000 
 1.125 0.000  3.714  1.485 0.000 
 1.150 0.000  3.687  1.552 0.000 
 1.175 0.000  3.657  1.621 0.000 
 1.200 0.000  3.624  1.693 0.000 
 1.225 0.000  3.588  1.769 0.000 
 1.250 0.000  3.548  1.847 0.000 
 1.275 0.000  3.505  1.927 0.000 
 1.300 0.000  3.458  2.011 0.000 
 1.325 0.000  3.406  2.098 0.000 
 1.350 0.000  3.349  2.187 0.000 
 1.375 0.000  3.288  2.278 0.000 
 1.400 0.000  3.220  2.373 0.000 
 1.425 0.000  3.147  2.469 0.000 
 1.450 0.000  3.067  2.568 0.000 
 1.475 0.000  2.980  2.668 0.000 
 1.500 0.000  2.886  2.770 0.000 
 1.525 0.000  2.783  2.873 0.000 
 1.550 0.000  2.672  2.977 0.000 
