%Time(s)	Speed(rpm)		
	%3/12/201512:09 PM
0.010	100.100
0.020	100.700
0.030	101.100
0.040	101.500
0.050	101.400
0.060	101.300
0.070	101.100
0.080	101.400
0.090	101.200
0.100	101.100
0.110	101.300
0.120	100.700
0.130	101.000
0.140	100.600
0.150	100.600
0.160	100.300
0.170	99.900
0.180	99.700
0.190	99.600
0.200	99.300
0.210	99.000
0.220	99.100
0.230	98.900
0.240	98.800
0.250	98.600
0.260	98.400
0.270	98.500
0.280	98.400
0.290	98.100
0.300	97.700
0.310	97.500
0.320	97.400
0.330	97.400
0.340	97.800
0.350	98.400
0.360	99.100
0.370	100.100
0.380	100.900
0.390	101.500
0.400	102.000
0.410	101.800
0.420	101.700
0.430	101.500
0.440	101.500
0.450	101.500
0.460	101.300
0.470	100.800
0.480	100.500
0.490	100.300
0.500	100.300
0.510	100.100
0.520	99.700
0.530	99.700
0.540	99.400
0.550	99.600
0.560	99.600
0.570	99.400
0.580	99.500
0.590	99.400
0.600	99.200
0.610	98.900
0.620	99.200
0.630	98.800
0.640	98.500
0.650	98.100
0.660	98.200
0.670	98.000
0.680	97.900
0.690	97.600
0.700	97.700
0.710	97.700
0.720	98.300
0.730	98.800
0.740	99.400
0.750	100.200
0.760	101.300
0.770	101.700
0.780	101.500
0.790	101.500
0.800	101.300
0.810	101.300
0.820	101.200
0.830	101.000
0.840	101.100
0.850	100.800
0.860	100.800
0.870	100.800
0.880	100.400
0.890	100.300
0.900	100.500
0.910	99.900
0.920	99.800
0.930	99.700
0.940	99.400
0.950	99.200
0.960	99.200
0.970	99.000
0.980	98.900
0.990	98.900
1.000	98.700
1.010	98.400
1.020	98.700
1.030	98.500
1.040	98.500
1.050	98.600
1.060	98.800
1.070	98.800
1.080	98.900
1.090	99.500
1.100	100.300
1.110	101.000
1.120	101.300
1.130	101.500
1.140	101.200
1.150	101.400
1.160	101.100
1.170	100.700
1.180	100.900
1.190	100.700
1.200	100.700
1.210	100.600
1.220	100.500
1.230	100.700
1.240	100.000
1.250	99.600
1.260	99.300
1.270	99.200
1.280	99.000
1.290	98.700
1.300	98.600
1.310	98.400
1.320	98.400
1.330	97.900
1.340	98.000
1.350	97.700
1.360	97.500
1.370	97.500
1.380	97.400
1.390	97.300
1.400	97.800
1.410	98.700
1.420	100.700
1.430	100.500
1.440	101.300
1.450	101.500
1.460	101.600
1.470	101.800
1.480	101.400
1.490	101.400
1.500	101.300
1.510	101.300
1.520	101.300
1.530	101.200
1.540	101.000
1.550	101.100
1.560	100.700
1.570	100.700
1.580	100.500
1.590	100.100
1.600	99.800
1.610	99.800
1.620	99.600
1.630	99.300
1.640	98.900
1.650	99.100
1.660	98.900
1.670	98.800
1.680	98.700
1.690	98.600
1.700	98.600
1.710	98.400
1.720	98.200
1.730	97.900
1.740	97.700
1.750	97.800
1.760	97.700
1.770	97.700
1.780	98.000
1.790	98.200
1.800	98.800
1.810	100.000
1.820	100.800
1.830	101.700
1.840	102.100
1.850	102.200
1.860	102.600
1.870	102.300
1.880	102.100
1.890	101.900
1.900	101.800
1.910	101.700
1.920	101.400
1.930	101.300
1.940	101.000
1.950	100.900
1.960	100.500
1.970	100.500
1.980	100.500
1.990	100.200
2.000	100.400
2.010	100.200
2.020	100.000
2.030	99.800
2.040	99.600
2.050	99.600
2.060	99.100
2.070	99.000
2.080	98.800
2.090	98.600
2.100	98.400
2.110	98.000
2.120	98.100
2.130	98.100
2.140	98.100
2.150	97.500
2.160	98.100
2.170	97.600
2.180	97.800
2.190	97.500
2.200	97.300
2.210	97.200
2.220	97.300
2.230	97.800
2.240	98.400
2.250	100.000
2.260	100.500
2.270	101.300
2.280	101.700
2.290	101.900
2.300	102.100
2.310	101.800
2.320	101.600
2.330	101.700
2.340	101.800
2.350	101.500
2.360	101.400
2.370	101.200
2.380	101.200
2.390	101.000
2.400	101.000
2.410	100.800
2.420	100.500
2.430	100.300
2.440	100.200
2.450	100.100
2.460	100.000
2.470	100.000
2.480	100.100
2.490	99.900
2.500	99.700
2.510	99.500
2.520	99.700
2.530	99.400
2.540	99.100
2.550	99.100
2.560	98.900
2.570	98.600
2.580	98.300
2.590	98.100
2.600	98.200
2.610	98.200
2.620	98.200
2.630	98.200
2.640	98.100
2.650	98.300
2.660	97.900
2.670	97.500
2.680	98.000
2.690	97.900
2.700	98.600
2.710	99.000
2.720	99.900
2.730	100.600
2.740	100.600
2.750	101.100
2.760	101.200
2.770	101.400
2.780	101.300
2.790	100.900
2.800	100.900
2.810	100.800
2.820	101.000
2.830	100.900
2.840	100.500
2.850	100.400
2.860	100.200
2.870	100.200
2.880	100.100
2.890	100.000
2.900	99.700
2.910	99.600
2.920	99.500
2.930	99.500
2.940	99.300
2.950	99.300
2.960	99.400
2.970	99.200
2.980	99.000
2.990	99.100
3.000	99.200
3.010	98.600
3.020	98.300
3.030	98.000
3.040	97.700
3.050	97.100
3.060	95.500
3.070	94.200
3.080	92.300
3.090	89.900
3.100	87.400
3.110	85.000
3.120	82.100
3.130	78.800
3.140	74.800
3.150	71.500
3.160	67.800
3.170	63.700
3.180	59.300
3.190	56.000
3.200	51.800
3.210	48.000
3.220	43.700
3.230	39.900
3.240	36.800
3.250	32.500
3.260	30.100
3.270	26.300
3.280	23.500
3.290	20.600
3.300	19.100
3.310	16.100
3.320	14.800
3.330	13.700
3.340	12.800
3.350	12.000
3.360	12.000
3.370	11.900
3.380	11.800
3.390	11.600
3.400	11.400
3.410	11.400
3.420	11.500
3.430	11.500
3.440	11.400
3.450	11.300
3.460	11.100
3.470	11.100
3.480	11.100
3.490	11.100
3.500	11.100
3.510	11.000
3.520	10.900
3.530	10.800
3.540	10.800
3.550	10.800
3.560	10.700
3.570	10.600
3.580	10.500
3.590	10.500
3.600	10.500
3.610	10.500
3.620	10.400
3.630	10.300
3.640	10.200
3.650	10.200
3.660	10.200
3.670	10.100
3.680	10.000
3.690	9.900
3.700	9.900
3.710	9.800
3.720	9.800
3.730	9.700
3.740	9.700
3.750	9.600
3.760	9.500
3.770	9.500
3.780	9.400
3.790	9.300
3.800	9.300
3.810	9.200
3.820	9.200
3.830	9.100
3.840	9.000
3.850	9.000
3.860	9.000
3.870	8.900
3.880	8.800
3.890	8.800
3.900	8.700
3.910	8.600
3.920	8.600
3.930	8.500
3.940	8.500
3.950	8.400
3.960	8.300
3.970	8.300
3.980	8.200
3.990	8.100
4.000	8.100
4.010	8.100
4.020	8.000
4.030	7.900
4.040	7.900
4.050	7.900
4.060	7.800
4.070	7.700
4.080	7.600
4.090	7.600
4.100	7.600
4.110	7.500
4.120	7.400
4.130	7.400
4.140	7.300
4.150	7.300
4.160	7.200
4.170	7.200
4.180	7.100
4.190	7.000
4.200	7.000
4.210	7.000
4.220	6.900
4.230	6.800
4.240	6.800
4.250	6.700
4.260	6.600
4.270	6.600
4.280	6.600
4.290	6.500
4.300	6.500
4.310	6.400
4.320	6.400
4.330	6.300
4.340	6.200
4.350	6.200
4.360	6.200
4.370	6.100
4.380	6.100
4.390	6.000
4.400	6.000
4.410	5.900
4.420	5.900
4.430	5.800
4.440	5.700
4.450	5.700
4.460	5.700
4.470	5.700
4.480	5.600
4.490	5.600
4.500	5.500
4.510	5.500
4.520	5.400
4.530	5.300
4.540	5.300
4.550	5.200
4.560	5.200
4.570	5.100
4.580	5.100
4.590	5.000
4.600	5.000
4.610	4.900
4.620	4.900
4.630	4.900
4.640	4.800
4.650	4.800
4.660	4.700
4.670	4.700
4.680	4.600
4.690	4.600
4.700	4.500
4.710	4.500
4.720	4.500
4.730	4.300
4.740	4.300
4.750	4.200
4.760	4.200
4.770	4.200
4.780	4.100
4.790	4.100
4.800	3.900
4.810	3.900
4.820	3.900
4.830	3.800
4.840	3.800
4.850	3.800
4.860	3.600
4.870	3.600
4.880	3.600
4.890	3.500
4.900	3.500
4.910	3.500
4.920	3.300
4.930	3.300
4.940	3.300
4.950	3.300
4.960	3.100
4.970	3.100
4.980	3.100
4.990	3.100
5.000	2.900
5.010	2.900
5.020	2.900
5.030	2.900
5.040	2.700
5.050	2.700
5.060	2.700
5.070	2.700
5.080	2.700
5.090	2.500
5.100	2.500
5.110	2.500
5.120	2.500
5.130	2.500
5.140	2.300
5.150	2.300
5.160	2.300
5.170	2.300
5.180	2.300
5.190	2.300
5.200	2.300
5.210	2.300
5.220	2.000
5.230	2.000
5.240	2.000
5.250	2.000
5.260	2.000
5.270	2.000
5.280	2.000
5.290	2.000
5.300	2.000
5.310	2.000
5.320	2.000
5.330	2.000
5.340	2.000
5.350	2.000
5.360	2.000
5.370	2.000
5.380	2.000
5.390	2.000
5.400	2.000
5.410	2.000
5.420	2.000
5.430	2.000
5.440	2.000
5.450	2.000
5.460	2.000
5.470	2.000
5.480	2.000
5.490	2.000
5.500	2.000
5.510	2.000
5.520	2.000
5.530	2.000
5.540	2.000
5.550	2.000
5.560	2.000
5.570	2.000
5.580	2.000
5.590	2.000
5.600	2.000
5.610	2.000
5.620	2.000
5.630	2.000
5.640	2.000
5.650	2.000
5.660	2.000
5.670	2.000
5.680	2.000
5.690	2.000
5.700	2.000
5.710	2.000
5.720	2.000
5.730	2.000
5.740	2.000
5.750	2.000
5.760	2.000
5.770	2.000
5.780	2.000
5.790	2.000
5.800	2.000
5.810	2.000
5.820	2.000
5.830	2.000
5.840	2.000
5.850	2.000
5.860	2.000
5.870	2.000
5.880	2.000
5.890	2.000
5.900	2.000
5.910	2.000
5.920	2.000
5.930	2.000
5.940	2.000
5.950	2.000
5.960	2.000
5.970	2.000
5.980	2.000
5.990	2.000
6.000	2.000
6.010	2.000
6.020	2.000
6.030	2.000
6.040	2.000
6.050	2.000
6.060	2.000
6.070	2.000
6.080	2.000
6.090	2.000
6.100	2.000
6.110	2.000
6.120	2.000
6.130	2.000
6.140	2.000
6.150	2.000
6.160	2.000
6.170	2.000
6.180	2.000
6.190	2.000
6.200	2.000
6.210	2.000
6.220	2.000
6.230	2.000
