%Time(s)	Speed(rpm)		
	%3/12/201511:57 AM
0.010	101.000
0.020	100.900
0.030	101.000
0.040	100.700
0.050	100.500
0.060	100.300
0.070	100.200
0.080	100.600
0.090	100.000
0.100	100.600
0.110	100.900
0.120	101.500
0.130	101.900
0.140	102.200
0.150	102.600
0.160	102.800
0.170	103.500
0.180	103.300
0.190	103.600
0.200	103.400
0.210	103.100
0.220	103.200
0.230	103.100
0.240	102.600
0.250	102.600
0.260	102.100
0.270	102.200
0.280	102.100
0.290	101.900
0.300	101.800
0.310	101.700
0.320	101.600
0.330	101.700
0.340	101.400
0.350	101.100
0.360	101.000
0.370	100.800
0.380	100.700
0.390	100.300
0.400	100.100
0.410	100.100
0.420	99.700
0.430	99.900
0.440	99.800
0.450	100.200
0.460	100.300
0.470	100.900
0.480	101.400
0.490	102.400
0.500	102.800
0.510	102.800
0.520	103.000
0.530	102.800
0.540	102.800
0.550	102.500
0.560	102.200
0.570	102.200
0.580	102.100
0.590	102.100
0.600	102.100
0.610	101.900
0.620	101.900
0.630	102.300
0.640	101.900
0.650	102.100
0.660	102.200
0.670	101.800
0.680	102.000
0.690	101.900
0.700	101.900
0.710	102.100
0.720	102.600
0.730	103.000
0.740	103.400
0.750	103.600
0.760	103.800
0.770	103.900
0.780	103.800
0.790	103.600
0.800	103.600
0.810	103.000
0.820	103.200
0.830	102.800
0.840	102.700
0.850	102.400
0.860	102.200
0.870	102.100
0.880	102.000
0.890	102.100
0.900	101.500
0.910	101.400
0.920	100.600
0.930	100.700
0.940	100.300
0.950	99.800
0.960	99.100
0.970	99.000
0.980	98.800
0.990	98.500
1.000	98.100
1.010	97.800
1.020	97.400
1.030	97.300
1.040	97.500
1.050	97.300
1.060	97.200
1.070	97.200
1.080	97.900
1.090	101.700
1.100	101.400
1.110	100.900
1.120	101.500
1.130	101.700
1.140	102.000
1.150	102.400
1.160	102.000
1.170	101.900
1.180	101.900
1.190	102.200
1.200	102.300
1.210	102.400
1.220	102.400
1.230	102.800
1.240	102.800
1.250	102.700
1.260	102.700
1.270	102.700
1.280	102.800
1.290	102.800
1.300	102.800
1.310	102.600
1.320	102.700
1.330	102.700
1.340	102.600
1.350	103.000
1.360	103.200
1.370	102.900
1.380	102.900
1.390	102.900
1.400	103.100
1.410	102.800
1.420	102.500
1.430	102.500
1.440	102.200
1.450	101.800
1.460	101.400
1.470	101.100
1.480	100.900
1.490	100.600
1.500	100.600
1.510	100.600
1.520	100.300
1.530	100.000
1.540	100.800
1.550	100.200
1.560	100.500
1.570	100.200
1.580	100.400
1.590	101.100
1.600	101.500
1.610	102.100
1.620	102.300
1.630	102.800
1.640	102.900
1.650	103.500
1.660	103.400
1.670	103.500
1.680	103.600
1.690	103.700
1.700	103.400
1.710	103.000
1.720	103.100
1.730	102.900
1.740	102.600
1.750	102.300
1.760	102.300
1.770	101.900
1.780	101.800
1.790	101.700
1.800	101.500
1.810	101.500
1.820	101.300
1.830	101.100
1.840	101.000
1.850	100.900
1.860	100.900
1.870	100.600
1.880	100.300
1.890	100.200
1.900	100.100
1.910	99.600
1.920	99.000
1.930	98.500
1.940	98.700
1.950	98.500
1.960	98.800
1.970	99.100
1.980	99.500
1.990	100.900
2.000	101.800
2.010	102.200
2.020	103.000
2.030	102.500
2.040	102.800
2.050	102.600
2.060	102.600
2.070	102.700
2.080	102.500
2.090	102.500
2.100	102.800
2.110	102.900
2.120	102.900
2.130	103.000
2.140	104.000
2.150	103.100
2.160	103.100
2.170	103.000
2.180	102.900
2.190	102.700
2.200	102.600
2.210	102.100
2.220	101.900
2.230	101.700
2.240	101.500
2.250	101.100
2.260	101.600
2.270	101.300
2.280	101.100
2.290	100.800
2.300	100.900
2.310	100.900
2.320	100.500
2.330	100.400
2.340	100.400
2.350	100.500
2.360	100.400
2.370	100.400
2.380	100.300
2.390	101.000
2.400	101.700
2.410	102.400
2.420	103.000
2.430	103.500
2.440	103.900
2.450	104.100
2.460	103.700
2.470	104.100
2.480	103.500
2.490	103.500
2.500	102.900
2.510	103.200
2.520	103.300
2.530	102.700
2.540	102.400
2.550	102.300
2.560	102.200
2.570	102.200
2.580	102.200
2.590	102.000
2.600	102.000
2.610	101.700
2.620	101.100
2.630	100.300
2.640	99.700
2.650	99.500
2.660	98.500
2.670	98.700
2.680	98.400
2.690	98.200
2.700	98.000
2.710	98.000
2.720	97.800
2.730	97.800
2.740	97.600
2.750	97.400
2.760	97.500
2.770	98.100
2.780	98.300
2.790	101.100
2.800	100.300
2.810	101.200
2.820	101.800
2.830	102.200
2.840	102.200
2.850	101.800
2.860	101.700
2.870	101.900
2.880	101.900
2.890	102.100
2.900	101.900
2.910	102.600
2.920	102.500
2.930	102.600
2.940	102.800
2.950	102.700
2.960	102.800
2.970	103.200
2.980	103.100
2.990	103.200
3.000	103.100
3.010	102.700
3.020	103.000
3.030	102.800
3.040	102.600
3.050	101.800
3.060	100.600
3.070	99.300
3.080	97.600
3.090	95.000
3.100	92.100
3.110	89.000
3.120	86.000
3.130	82.100
3.140	78.400
3.150	74.200
3.160	69.700
3.170	65.500
3.180	61.900
3.190	57.700
3.200	54.300
3.210	50.500
3.220	47.600
3.230	45.400
3.240	44.500
3.250	44.100
3.260	43.700
3.270	44.300
3.280	44.300
3.290	43.900
3.300	43.400
3.310	43.300
3.320	43.400
3.330	43.900
3.340	44.000
3.350	43.400
3.360	43.000
3.370	43.000
3.380	43.200
3.390	43.500
3.400	43.400
3.410	42.900
3.420	42.700
3.430	42.700
3.440	42.900
3.450	42.900
3.460	42.800
3.470	42.500
3.480	42.200
3.490	42.300
3.500	42.500
3.510	42.500
3.520	42.200
3.530	42.100
3.540	42.000
3.550	41.800
3.560	41.600
3.570	42.100
3.580	41.800
3.590	41.600
3.600	41.600
3.610	41.600
3.620	41.600
3.630	41.600
3.640	41.400
3.650	41.400
3.660	41.300
3.670	41.300
3.680	41.300
3.690	41.300
3.700	41.300
3.710	41.100
3.720	41.100
3.730	41.000
3.740	41.000
3.750	41.000
3.760	41.000
3.770	41.000
3.780	40.800
3.790	40.700
3.800	40.600
3.810	40.600
3.820	40.500
3.830	40.400
3.840	40.400
3.850	40.300
3.860	40.200
3.870	40.100
3.880	40.000
3.890	39.900
3.900	39.900
3.910	39.800
3.920	39.800
3.930	39.700
3.940	39.600
3.950	39.600
3.960	39.400
3.970	39.200
3.980	39.200
3.990	39.300
4.000	39.200
4.010	39.200
4.020	39.100
4.030	39.000
4.040	39.000
4.050	38.900
4.060	38.900
4.070	38.900
4.080	38.700
4.090	38.600
4.100	38.600
4.110	38.700
4.120	38.600
4.130	38.500
4.140	38.500
4.150	38.400
4.160	38.300
4.170	38.200
4.180	38.200
4.190	38.100
4.200	38.000
4.210	37.900
4.220	37.900
4.230	37.800
4.240	37.700
4.250	37.700
4.260	37.600
4.270	37.500
4.280	37.500
4.290	37.400
4.300	37.300
4.310	37.300
4.320	37.200
4.330	37.100
4.340	37.100
4.350	37.000
4.360	37.000
4.370	36.900
4.380	36.800
4.390	36.700
4.400	36.700
4.410	36.600
4.420	36.600
4.430	36.500
4.440	36.500
4.450	36.400
4.460	36.300
4.470	36.300
4.480	36.200
4.490	36.100
4.500	36.300
4.510	36.100
4.520	35.900
4.530	35.900
4.540	35.800
4.550	35.700
4.560	35.700
4.570	35.600
4.580	35.400
4.590	35.500
4.600	35.700
4.610	35.600
4.620	35.400
4.630	35.200
4.640	35.200
4.650	35.100
4.660	35.000
4.670	35.000
4.680	34.900
4.690	34.800
4.700	34.700
4.710	34.700
4.720	34.700
4.730	34.600
4.740	34.500
4.750	34.500
4.760	34.400
4.770	34.300
4.780	34.300
4.790	34.200
4.800	34.200
4.810	34.100
4.820	34.100
4.830	34.000
4.840	34.000
4.850	33.800
4.860	33.800
4.870	33.500
4.880	33.400
4.890	33.500
4.900	33.500
4.910	33.400
4.920	33.400
4.930	33.300
4.940	33.300
4.950	33.200
4.960	33.100
4.970	33.100
4.980	33.100
4.990	33.000
5.000	33.000
5.010	32.900
5.020	32.900
5.030	32.900
5.040	32.900
5.050	32.800
5.060	32.700
5.070	32.600
5.080	32.600
5.090	32.500
5.100	32.400
5.110	32.500
5.120	32.500
5.130	32.400
5.140	32.300
5.150	32.200
5.160	32.100
5.170	32.000
5.180	32.000
5.190	31.900
5.200	31.800
5.210	31.700
5.220	31.700
5.230	31.600
5.240	31.500
5.250	31.300
5.260	31.400
5.270	31.600
5.280	31.500
5.290	31.300
5.300	31.200
5.310	31.200
5.320	31.100
5.330	31.000
5.340	31.000
5.350	30.900
5.360	30.900
5.370	30.700
5.380	30.600
5.390	30.500
5.400	30.500
5.410	30.500
5.420	30.500
5.430	30.400
5.440	30.400
5.450	30.300
5.460	30.300
5.470	30.200
5.480	30.200
5.490	30.100
5.500	30.000
5.510	30.000
5.520	30.000
5.530	29.900
5.540	29.800
5.550	29.700
5.560	29.700
5.570	29.700
5.580	29.700
5.590	29.600
5.600	29.500
5.610	29.500
5.620	29.400
5.630	29.300
5.640	29.300
5.650	29.200
5.660	29.100
5.670	29.100
5.680	29.000
5.690	28.900
5.700	28.900
5.710	28.800
5.720	28.700
5.730	28.600
5.740	28.600
5.750	28.500
5.760	28.500
5.770	28.400
5.780	28.400
5.790	28.300
5.800	28.300
5.810	28.200
5.820	28.200
5.830	28.100
5.840	28.100
5.850	28.000
5.860	27.900
5.870	27.900
5.880	27.800
5.890	27.800
5.900	27.700
5.910	27.700
5.920	27.600
5.930	27.500
5.940	27.500
5.950	27.400
5.960	27.400
5.970	27.300
5.980	27.300
5.990	27.200
6.000	27.200
6.010	27.100
6.020	27.100
6.030	27.000
6.040	26.800
6.050	26.800
6.060	26.800
6.070	26.800
6.080	26.800
6.090	26.700
6.100	26.600
6.110	26.500
6.120	26.500
6.130	26.400
6.140	26.300
6.150	26.300
6.160	26.200
6.170	26.100
6.180	26.100
6.190	26.000
6.200	26.000
6.210	25.900
6.220	25.900
6.230	25.800
6.240	25.700
6.250	25.700
6.260	25.600
6.270	25.600
6.280	25.500
6.290	25.400
6.300	25.400
6.310	25.300
6.320	25.200
6.330	25.200
