%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102453.062,301.493,1.184,0.258,0.040,-0.256,-3.134,-1.115,1.177,1.777,1.081,-1.661,-1.068,-1.712,0.112,0.104,1.373,-2.124,2.513,1.047,0.519,0.113,-7.969,0.028,-0.292,0.000,535.448,336.520
102444.999,301.494,1.184,0.684,0.277,-0.096,-1.837,-1.449,1.070,1.777,0.000,-1.764,-1.068,-0.963,-0.223,0.104,2.429,-2.443,2.199,1.151,0.311,0.000,-7.980,-0.010,-0.282,0.000,535.448,336.520
102444.999,301.493,1.184,0.684,0.277,0.064,-2.378,-1.226,0.963,1.255,1.081,-2.076,-1.068,-1.712,0.336,-0.208,2.218,-1.487,1.990,0.733,0.623,0.338,-7.980,-0.010,-0.292,0.000,535.448,336.520
102453.062,301.496,1.184,0.258,0.040,0.224,-2.270,-0.557,1.392,1.150,0.865,-1.453,-1.922,-1.391,0.447,0.209,1.796,-1.593,2.723,0.105,0.831,0.113,-7.959,-0.010,-0.272,0.001,535.448,336.520
102449.030,301.494,1.184,0.448,0.119,0.224,-2.270,-1.003,1.284,1.987,0.757,-1.557,-1.281,-2.675,-0.223,0.835,2.218,-1.593,3.037,1.256,0.519,0.000,-7.980,0.048,-0.282,0.000,535.448,336.520
102453.062,301.494,1.184,0.775,0.356,0.064,-2.378,-1.560,1.820,2.196,0.649,-1.661,-1.495,-1.605,-0.558,0.522,2.535,-1.805,2.618,1.360,1.142,-0.225,-7.969,-0.010,-0.292,-0.000,535.448,336.520
102453.062,301.497,1.184,0.684,0.277,-0.256,-2.378,-1.337,0.642,1.882,0.433,-1.972,-0.961,-1.177,0.783,-0.625,2.429,-2.336,2.513,1.047,0.415,0.677,-7.948,0.028,-0.292,0.000,535.448,336.520
102453.062,301.494,1.184,0.258,0.040,-0.096,-2.594,-1.337,1.927,1.255,0.757,-1.142,-1.602,-1.391,0.224,0.626,1.690,-1.487,2.723,0.523,0.519,0.000,-7.948,0.028,-0.272,0.000,535.448,336.520
102449.030,301.493,1.184,0.448,0.119,-0.256,-1.837,-1.783,1.284,2.405,0.324,-1.349,-0.854,-0.963,-0.335,0.313,2.535,-2.761,2.618,0.837,0.104,0.000,-7.990,0.009,-0.272,-0.000,535.448,336.520
102449.030,301.493,1.184,0.578,0.198,-0.096,-1.945,-1.226,0.749,1.464,0.649,-2.283,-0.961,-0.963,-0.112,0.104,2.007,-1.381,1.990,0.837,0.623,-0.901,-7.980,-0.010,-0.282,0.001,535.448,336.520
