%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82973.211,299.367,0.966,15.040,109.204,0.338,108.912,110.418,113.475,113.352,114.092,110.119,109.643,110.899,112.293,112.745,115.801,110.026,116.334,113.559,112.774,111.462,-11.000,-0.802,-0.437,-0.052,-90.212,215.549
82977.243,299.367,0.966,15.040,109.204,0.178,108.154,110.100,113.154,113.247,114.200,110.431,109.964,110.470,112.069,113.267,114.744,109.919,115.705,113.978,112.878,111.575,-11.000,-0.783,-0.457,-0.052,-90.245,215.549
82969.180,299.366,0.966,15.040,109.204,0.338,108.587,109.765,112.725,112.933,112.902,110.743,109.536,110.791,111.734,112.954,115.378,108.536,115.810,113.664,112.255,111.236,-11.000,-0.802,-0.447,-0.052,-90.228,215.529
82969.180,299.367,0.966,15.035,109.125,0.178,108.371,111.105,113.260,113.229,113.443,110.015,110.071,110.362,111.846,113.476,115.589,109.494,115.496,113.978,112.982,110.785,-11.000,-0.744,-0.437,-0.052,-90.228,215.549
82973.211,299.369,0.966,15.035,109.125,0.178,108.804,110.212,113.046,113.856,113.551,110.639,109.857,111.113,112.517,112.536,115.801,109.387,115.915,113.245,112.566,111.236,-11.000,-0.783,-0.447,-0.052,-90.212,215.560
82973.211,299.367,0.966,15.024,108.967,0.498,107.505,110.547,113.153,113.438,113.659,110.326,109.964,110.255,112.069,113.789,114.956,109.494,116.438,113.350,112.878,111.349,-11.000,-0.763,-0.427,-0.053,-90.212,215.549
82973.211,299.366,0.966,15.040,109.204,0.338,108.912,110.435,113.474,114.275,113.551,110.638,110.285,110.684,111.846,113.267,116.223,109.281,116.334,113.873,112.462,111.800,-11.000,-0.802,-0.427,-0.053,-90.228,215.549
82973.211,299.367,0.966,15.035,109.125,0.338,108.912,111.217,113.153,113.856,114.200,110.014,110.498,110.791,112.069,113.372,116.012,109.706,116.334,113.559,112.774,111.011,-11.000,-0.783,-0.457,-0.052,-90.212,215.560
82973.211,299.364,0.966,15.029,109.046,0.018,108.587,111.328,113.367,113.752,114.092,110.846,110.498,111.220,112.629,113.058,116.223,109.600,116.543,114.083,113.085,112.139,-11.000,-0.763,-0.447,-0.052,-90.212,215.539
82977.243,299.367,0.966,15.029,109.046,0.178,108.587,111.105,113.260,113.438,113.983,110.846,110.391,110.791,112.517,113.806,115.061,109.494,116.438,113.664,113.085,111.575,-11.000,-0.802,-0.427,-0.052,-90.228,215.539
